X,Y,OBJECTID,Name,Address,Description,Easting,Northing,last_edited_date
173.961850087600624,-41.461234760519254,19910,Spring Creek Dairy & Takeaways,2238 SH 1 Spring Creek .,Food Premises - High Risk,1680327,5409593,2017-07-17T00:37:30.000Z
174.000453579478972,-41.291069572272228,19911,Ngamahau Fishing,4 Kent Street Picton .,Food Premises - High Risk,1683769,5428448,2017-07-17T00:37:30.000Z
173.819809359127362,-41.486555648000348,19912,Giesen Wines Cellar Door,26 Rapaura Road Rapaura .,Food Control Plan,1668438,5406904,2017-07-17T00:37:30.000Z
174.006505262859093,-41.291629332547956,19913,Fergies Fish N Chips & Kebabs,81 High Street Picton .,Food Control Plan,1684275,5428380,2017-07-17T00:37:30.000Z
173.953991516551781,-41.507534796840218,19914,Quality Hotel Marlborough,22 Nelson Street Blenheim .,Food Control Plan,1679614,5404460,2017-07-17T00:37:30.000Z
173.840976232703554,-41.540284576295079,19915,Brancott Estate Heritage Centre,110 Brancott Road Fairhall .,Food Control Plan,1670147,5400922,2017-07-17T00:37:30.000Z
173.957014681374062,-41.521606066291177,19916,Little Footsteps,102 Scott Street Blenheim .,Food Control Plan,1679849,5402895,2017-07-17T00:37:30.000Z
173.957014681374062,-41.521606066291177,19917,Rai Valley Tavern,6767 SH 6 Rai .,Food Control Plan,1679849,5402895,2017-07-17T00:37:30.000Z
173.956909510700086,-41.511212547841922,19918,Biddy Kates,2 Market Street Blenheim .,Food Control Plan,1679853,5404049,2017-07-17T00:37:30.000Z
173.971110985345234,-41.528936891026454,19919,Lawson's Dry Hills Wines Limited,238 Alabama Road Riverlands .,Food Control Plan,1681016,5402068,2017-07-17T00:37:30.000Z
174.006534096981625,-41.289620385441758,19920,The Thirsty Pig Picton,27 High Street Picton .,Food Control Plan,1684280,5428603,2017-07-17T00:37:30.000Z
173.823726364763047,-41.508298409426345,19921,Cork & Keg,33 Inkerman Street Renwick .,Food Control Plan,1668742,5404487,2017-07-17T00:37:30.000Z
173.823726364763047,-41.508298409426345,19922,The Yard Bar And Bistro Limited,30 Maxwell Road Blenheim .,Food Control Plan,1668742,5404487,2017-07-17T00:37:30.000Z
173.768955791101973,-41.276094493044084,19923,Slip Inn Cafe & Restaurant,17 Cook Street Havelock .,Food Control Plan,1664400,5430308,2017-07-17T00:37:30.000Z
173.960254727604678,-41.502420573713557,19924,Grove Tavern (2003) Limited,77 Grove Road Blenheim .,Food Control Plan,1680143,5405022,2017-07-17T00:37:30.000Z
173.669886002179254,-41.291107925179141,19925,Trout Hotel,21 Wakamarina Road Canvastown .,Food Control Plan,1656090,5428710,2017-07-17T00:37:30.000Z
174.03535285243737,-41.198981913854347,19926,Portage Resort Hotel,2923 Kenepuru Road Kenepuru Sound .,Food Control Plan,1686813,5438637,2017-07-17T00:37:30.000Z
173.875478919725026,-41.491324593970198,19927,Twelve Trees,229 Jacksons Road Rapaura .,Food Control Plan,1673080,5406329,2017-07-17T00:37:30.000Z
173.956608184219988,-41.514349587893555,19928,Mango Restaurant Bar,2 Scott Street Blenheim .,Food Control Plan,1679824,5403701,2017-07-17T00:37:30.000Z
174.075386212392289,-41.673041408191395,19929,Cosy Corner,9 Mills Street Seddon .,Food Control Plan,1689516,5385966,2017-07-17T00:37:30.000Z
174.024892271148133,-41.276802709019847,19930,Endeavour Park Pavilion Soc Incorp,181 Waikawa Road Picton .,Food Control Plan,1685834,5430008,2017-07-17T00:37:30.000Z
173.841487770183136,-41.475202932837085,19931,Hans Herzog Estate,81 Jeffries Road Rapaura .,Food Control Plan,1670260,5408147,2017-07-17T00:37:30.000Z
173.959860589298387,-41.501694273103617,19932,Rocco's Italian Restaurant,5 Dodson Street Blenheim .,Food Control Plan,1680111,5405103,2017-07-17T00:37:30.000Z
173.956062194862227,-41.512264439710265,19933,Dolce Cafe & Pizzeria,48 Market Street Blenheim .,Food Control Plan,1679781,5403933,2017-07-17T00:37:30.000Z
174.007956320061027,-41.289689008944158,19934,Seumus Irish Bar,21 Wellington Street Picton .,Food Control Plan,1684399,5428594,2017-07-17T00:37:30.000Z
173.767406586051237,-41.279410655357474,19935,Havelock Hotel,54 Main Road Havelock .,Food Control Plan,1664267,5429941,2017-07-17T00:37:30.000Z
174.037729805811466,-41.267869241260335,19936,Jolly Roger Bar & Restaurant,Waikawa Marina Waikawa Bay Queen Charlotte Sound / Totaranui .,Food Control Plan,1686921,5430987,2017-07-17T00:37:30.000Z
173.892140879391405,-40.857694752506497,19937,d'Urville Island Wilderness Resort,Catherine Cove d'Urville .,Food Control Plan,1675192,5476657,2017-07-17T00:37:30.000Z
174.007168520360295,-41.288939266006253,19938,Seabreeze Cafe,22 London Quay Picton .,Food Control Plan,1684334,5428678,2017-07-17T00:37:30.000Z
